stars,comment
3.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   Was said to be in “very good” condition. Product arrived, I plugged it into my tv, and the console started making noises as soon as I turned it on. I inserted many game discs and none of them would read, another problem was the software itself. I tried updating the console to the latest firmware, but it kept giving me an error message. I tried both methods (via Internet and USB) but none worked. Better off buying a PS4 slim. I gave it 3 stars because the seller was nice about giving me my refund.

  
"
2.0 out of 5 stars,"









  
  
    
  This was my first console I've purchased for myself. The product was used but labelled as very good and sold by Amazon.com Services, Inc. Unfortunately the controller only worked when close to the console. The controller had to be within a feet from the console for it to work and even then the connection sometime drops out. Using the USB cable was out of the question as the only method of connection is via bluetooth. Initially I thought that the controller was the issue so I went out and bought a new controller but still the issue persisted meaning the console was defective. Either the device got damaged during delivery or they did not properly test the console. The device is still usable but no to its fullest potential. This was a disappointing and expensive purchase and brings caution towards the labeling of used products that are sold by Amazon.

  
"
5.0 out of 5 stars,"









  
  
    
  i still remember that day October 15,2013. I went to a local Best Buy in line with literally 200 people in NYC. After 3 long hours(sorry no more ps4s). Went home so disappointed but quickly came on amazon. Amazingly that green light said ""in stock"" literally saved my entire night. Came with 2 day free shipping and was at my door. It was at that very day that amazon has become my go to place for shopping pretty much anything.It's now March 2018 and after owning this launch PS4, a Sony 4K tv with a PS4 pro and a PS4 slim for my bedroom along with over 100 games....I still think this is the most beautifully designed PS4 there is of all models despite it not having 4k. It's glossy finish, it's side light bar, it's loud fan during big games and beautiful edges make it sexy.

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this system after purchasing and returning 3 different PS4 Slims and one PS4 Pro. None of the newer models would play two of my used games that has very light scratches on the discs. The discs run fine on this older model. I have had no issues with this system.Either there was a bad batch in my area or the newer systems are just not made to run discs with any blemish (conspiracy?!). So I'm very happy with this purchase.

  
"
5.0 out of 5 stars,"









  
  
    
  I warily bought this product open box for a steep discount, and I could not be more ecstatic! I play a LOT of video games, and this system is everything I'd hoped. Powerful, sleek, runs quietly, functions perfectly - I am a very happy consumer. I do everything from playing The Witcher and COD to streaming Netflix and HBO to shopping on PSN, and this system is stellar across the board.Bottom line: I thought ""How can it be any better than the PS3? As a broke post-grad, should I really invest so much money?"" And the answer is a resounding YES - If you love PS3, this system will seem spectacular and is absolutely worth the money.

  
"
5.0 out of 5 stars,"









  
  
    
  My PS3 only lasted about a year, so I was a little hesitant how long this unit would last.  I've had this for over a year and a half with no problems and I have got a lot of hours of use out of it.  The brand has been able to keep up with new and changing innovation and it has swayed me from my former brand loyalty.  You don't even need to be a gamer to get use out of this machine.  It will play blu-ray and dvd, and you can use it for streaming apps.  I really like that because I don't have to switch out a bunch of devices between limited HDMI ports on my TV.  I've also used it with my projector.

  
"
5.0 out of 5 stars,"









  
  
    
  Just a quick review since everyone else has said what needs to be said.Pros:-Fastest console on the market. Don't be fooled by the other guys. GDDR3 vs GDDR5 memory is no competition. GDDR3 is something modern mid-line PCs don't even use anymore.-Nice looking system. Really looks amazing in person.-PS+, while i don't like it being required to play my games online, is an amazing service and only adds to it's quality with the addition of the PS3/Vita. So much free. So many discounts.-Twitch.tv and Ustream services are easily accessed at a click of a button. Screen shots and video uploads (currently, only to Facebook).-Quiet. Nice and quiet. Killzone cranked up a fan a few times but it was still quiet.Cons:-Controller has a chance of being a dud. At least originally. I have 2 controllers and one of mine sticks all the time. Several forums on the internet have information on this. Sony will replace a busted controller though.-Controller light bar. It's bright. And there's no option to turn it off without modding your controller.-UI is bare right now. No themes. Just blue screen.-Missing a media player and DNLA support. This should be patched back in via firmware.-Included mic sucks. Buy a real mic.

  
"
5.0 out of 5 stars,"









  
  
    
  Very nervous about purchasing such an expensive gaming console from a third party site, however they kept true to their word about their product and I've yet to put it down. I went from the Playstation 3 to the new Playstation 4 only recently (late, yes I know, haven't had much time for gaming.) and yet with all the new features and expansive assortment of options available, the difference is day and night.What truly separates the ps4 from the competitors (I'm looking at you xbox 1) is the sheer amount of upgrades and performance enhancers built into this console. Playstation truly too it to the next level with this piece of engineering from the software to the cosmetics. Sleek, simple and yet elegant in its own way. I could go on for days about the technicality of it but I'll just leave y'all with this: Bar none the PS4 beats out any other gaming console to date, and I highly recommend it. So go ahead, enjoy.The only discrepancy I have about the PS4 online capabilities is the fact that going from free to play online to now having to pay $50 a year for the playstation plus subscription, is a little absurd, one of the elements of why I favored the ps3 to xbox 360, but oh well. It is well worth it in the amount of things you get back from your payment; including 2 free games every month!!

  
"
1.0 out of 5 stars,"









  
  
    
  I bought this model because it showed that is was a old discontinued model of the PS4. Which led me to believe it was an original model of the PS4, but that is not the case. The Playstation did not come with the original glossy side cover of the Playstation. It was matte black which honestly not the main issue. The issue is with the hard drive. The housing of the hard drive is not compatible with the original at all. The casing where hard drive is to be placed is upside down. The cradle where the hard drive is inserted does fit for the Playstation’s original hard drive. The Playstation screw is in the front and not the side where it should be. I am highly disappointed thinking the Playstation would be a replacement for my old one but I was completely wrong. Everything about the machine does not match up to the way it was originally created by Sony. I did not plug the system in because it does not have the capability for me to insert my Nyko modular attachment which hold my main hard drive of 4TB for my Playstation. I even have the pictures of a side by side comparison. I am so heartbroken about this product.

  
"
2.0 out of 5 stars,"









  
  
    
  Had this item since 2013, it's been well kept and dust free.  It now (2016) no longer boots, apparently the issue is common with all of these (blinking blue light).  I've read all the reviews online and there's no easy fix... Sony is charging minimum $99 repair free.  This should be reported with Consumer Affairs, no one should have to essentially re-purchase an electronic after only a few year usage!

  
"
5.0 out of 5 stars,"









  
  
    
  Admittedly I still don't have many games for this system yet other than freebie downloads off PSN. I do have Assassins Creed Black Flag for it though and the gameplay in itself for that takes some getting used to with the new controller ^_^;; The system is definitely an upgrade from the PS3. Speed, download time, functionality is all improved. Don't get me wrong I love the PS3 beyond belief. The PS4 is a perfect companion for it and for any fan of PlayStation. The buttons are very touch sensitive which is great because they're rather tiny on the console for appearance purposes.The controller is greatly more comfortable to handle than the previous Dualshock's, but trust me the touchpad takes some getting used to especially when the new games all have it integrated into gameplay in some form or another. Take your time making sure you know what it's used for.

  
"
5.0 out of 5 stars,"









  
  
    
  Received Christmas Eve and my niece has been playing it hours on end.She finished Knack in 3 sessions (short game) and is currently challenged with Assassins Creed (lots of cannonball fights at sea).The only negative, I've seen, is the reliability of the PSN plus network.  Seems to be down often for maintenance.  It was out of commission most of Christmas day and for an hour or so, a day or two afterwards.  Also, the game download discounts are non-existent.  I've only seen full price and the free games were not rotated on January 1.  Sony seems to be a bit greedy here, they should get people accustomed to buying games over the PSN store.

  
"
5.0 out of 5 stars,"









  
  
    
  The PS4 I purchased has operated perfectly so far.. The system is far superior to the previous ps3 system. it is a lot faster, and so much easier to use.. i also like how you can use multiple things at once and easily access them via the center PS button on the controller- i like being able to play music unlimited as I am playing games or doing other things.. I'm just waiting until they sell enough systems so there is financial incentive for game developers to put all their talents into PS4/xbox1 games..right now there are 100 million ps3/xbox systems and maybe 10 percent of that # of the new systems.. so they obviously won't sell as many games on the new systems. maybe in a year or 2 we will start seeing amazing games. only new game i want to see is watchdogs, which, to be honest, looks like grand theft auto with hacking

  
"
3.0 out of 5 stars,"









  
  
    
  I'd love to say that the graphics are fantastic and that the speaker on the controller can provide immesion with in certain games. The console design is sleek and smaller. As well as it looks amazing. The controller responds great and feels confortable.However I feel that this console has a huge lack of titles and its potential is completely under done. I though that it had the ability to play old gen titles, and just dissapointed me there as well. No it will not run any ps1 games and no you cannot purchase any on the store. You can stream certain games however you need a subscription which is completely different from the online subscription you already pay for if you choose to. The blueray support and cd support was indeed patched in last second. Aside from these issues it's still fun to use!A good console!

  
"
5.0 out of 5 stars,"









  
  
    
  I searched high and low for a ps4 but could not locate one.  Amazon emailed me that they had a small number in and to order directly from Amazon Prime.  A few days later I had the console.The graphics are amazing, And the interface is clean.  And controller is wireless and can be charged by the console itself.  It also doubles as a Blu-Ray player, web browser, and you can directly stream videos as well as play games.  Sony has a site to download games, or you can order the discs.  There is also a vast online community to share accomplishments.If you are a serious gamer this is the console to get.

  
"
4.0 out of 5 stars,"









  
  
    
  First off I want to state that Amazon has really gone the extra mile.  I ordered my PS4 with free shipping (8-11 days I believe) on 12/20 and received it 12/23.  Very fast and efficient service!As for the PS4, I set it up and it started right away.  I was afraid I would get a lemon but so far I am having no problems.  The console itself is tiny!  I have it next to my 80GB PS3 and it is less then half the size.  Sony has their work cutout for them if they decide to make a slim version in a few years.  I got an extra controller and the Playstation Camera along with it and am having fun using the Playroom but it seems like it would get boring very fast.  I'm hoping they come out with more games that use the camera but since its only been out for over a month I get it is limited.  The controller feels amazing! No joke, this controller feels like it was custom made for my hands.  A huge upgrade from the PS3 controller that felt like it could break in my hands at any moment.  I'm spending time now playing Resogun and Blacklight Retribution and waiting for games like Infamous Second Son and Watch Dogs to come out.The only negative I found on this console (and the reason why I'm rating it 4 stars instead of 5) is because I can't play my PS3 games.  If and when Sony releases a fix to this through that Gaikai streaming service and I see that it works sufficiently I will change my rating to 5 stars.

  
"
5.0 out of 5 stars,"









  
  
    
  The user interface takes a little bit of getting used to, but seems to be relatively simple and ad-free compared to that of the Xbox One. The ability to put apps (i.e. Netflix or Amazon Prime) on hold to open another app or navigate through the menus is great.The controller is great, though I do miss the ""start"" button. The touch pad works well in game play and doesn't feel gimmicky. The recent system update allowing users to dim the light bar on the controller has helped extend the decent battery life.I highly recommend purchasing with a PlaysStation Plus subscription, as the free games every month are a nice addition. The free games for the PlayStation 4 are nowhere near as good as the options that have been coming out for the PlayStation 3, however.

  
"
5.0 out of 5 stars,"









  
  
    
  The Ps4 is Awesome! I have both systems and they are worth it! Yes there is bitter reviews,  but really 1 star? Faulty products do happen so don't let that be the reason not to buy it. Amazon will take care of you if something like that was to occur. So now onto the product. This system definitely pushed the bar beyond what i thought next gen was going! The UI is fast and simple, and the setup is easy. Yes there is some minor faults like connecting surround sound. (need an optical cord) and doesn't use old TB headsets (as of now) and 3d support, But like i said those are minor.  Make sure you get playstation plus for the free games and to play online.Yes they have a online membership like xbox but the difference is $10 cheaper and they give free games with it or discounted.  Yes there is limited titles out right now but there will be a-lot of them coming! As for over paying for the system don't! Just get on the waiting list or get sent a reminder when they are available.

  
"
5.0 out of 5 stars,"









  
  
    
  This is one of my most favorite gaming council's I wish that the on line was still free but once you pay for it you get more to do on this council than you would on the peace theory but over all the smoothness of the operating system is so much mooted in the PS3

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this for my husbands birthday. He was very excited for the specific purchase (the 500 gb hard drive).We watch all of our movies on here, so for me it's been excellent to have. We didn't have a blue ray player prior to owning this console, so it's been really nice to widen our movie collection now that we have the ps4.The order came quickly and I had zero complications.Highly recommend.

  
"
4.0 out of 5 stars,"









  
  
    
  Ive grown up on Playstation. System is great. can't wait two years from now once the game designers get some experience to the new system and are able to develop some truly amazing games.  The new UI takes a little getting used to. There is only 2 usb ports. No DLNA support (no streaming movies to the ps4 from your pc for viewing on your TV)The new controller design is nice, the ps4 system itself looks good. doesn't get too hot or too loud. solid console.  maybe once i get more ownership and wear and tear out of this and see what games are developed in the future, i might be willing to upgrade to 5 stars.

  
"
5.0 out of 5 stars,"









  
  
    
  I LOVE my PS4. The exclusives are great, and as of now the OS has been updated finally to use external hard drives and folder sorting of installed applications. My only serious complaint with the system is the lack of available USB ports. Once you steal one for an external hard drive, you only have one left. Definitely necessitates the need for a USB hub for the system.

  
"
5.0 out of 5 stars,"









  
  
    
  After having the system since launch I can confidently say that the Playstation 4 is a console worth owning.Sony is doing great in price, content, and functionality.The controller feel comfortable. Graphics are impressive. Playstation Plus is also a very good value. I get so many free games that I can't keep up with it!And of course it plays movies, streams content, and has all of your favorites ranging from hulu to Spotify.If you haven't bought a PS4 yet then go ahead and do it! Now is the perfect time to join in the fun

  
"
3.0 out of 5 stars,"









  
  
    
  I love the console but it has sound issues (No 5.1 surround sound when playing Blu ray movies or streaming services, only stereo)After trying everything and contacting Sony's support team, I got to the conclusion that the PS4 has huge software issues that must be patch really soon. Searching online you'll see all the Sound problems this console has.I returned my PS4 and I probably get another one when this issue get fixed. However, after 4 months from its released and 400$, you might expect something really different from a console that is supposed to be state of the art tech.

  
"
