stars,comment
1.0 out of 5 stars,"









  
  
    
  This should be illegal. What a scummy thing to do.

  
"
1.0 out of 5 stars,"









  
  
    
  Hope you never sell them

  
"
1.0 out of 5 stars,"









  
  
    
  Wait for the stock to replenish, all games are backwards compatible. don't feed the Trolls

  
"
1.0 out of 5 stars,"









  
  
    
  How dare you Amazon!  $1,500.00?  Thats not cool dude.

  
"
1.0 out of 5 stars,"









  
  
    
  annoying

  
"
1.0 out of 5 stars,"









  
  
    
  I get it. Supply and demand, but seriously? Literally triple the price? PC master race... here I come... Get a nitro 5 instead of this deal. The entire reason consoles were so popular were the affordability. By all means, if you can buy it, it's a great machine. It seems like we are all beta testers and game companies are just releasing garbage games and fixing the issues on their time... simple fixes take months not days. Smh.

  
"
5.0 out of 5 stars,"









  
  
    
  It’s a behemoth simple put. Besides that it is a really amazing console. Just setting it up and downloading a few games for my son, I could really notice the download speed and performance upgrades. Does not run hot so far it has been running terratech in 4K hdr for about half hour. See picture. The Xbox one x would easily hit 150 degrees Fahrenheit.

  
"
1.0 out of 5 stars,"









  
  
    
  $1400? Really? I hope you end up stuck with them.How does amazon allow this type of activity?

  
"
5.0 out of 5 stars,"









  
  
    
  Let me start off by saying I am not an Xbox fan boy lol. I have mostly played PS4 and PC  in the past few years. I was very intrigued with Xbox series X because of the user experience. They really seem like they were listening with this generation and it shows. The UI interface is like butter it moves so quickly, with hardly any waiting. Game pass which is an amazing option only on Xbox and PC has an amazing selection of games right at my fingertips for a monthly fee. Xbox really got the user experience down I can honestly say that it was definitely worth it. I've been enjoying a lot of games that I played on PC and I am confident in saying that I have such a great experience on Xbox series X I'm blown away. It gets a little hot but I have it in a very breathable location. ( I would recommend that as well ) I'm excited to play all the Xbox one games I missed out on! (And new games of course) Overall I really recommend it.

  
"
1.0 out of 5 stars,"









  
  
    
  Strait trash. Almost 3 times the original price. You done bumped your head. Have fun selling them to gamestop for 250 im a month

  
"
1.0 out of 5 stars,"









  
  
    
  Microsoft should try to get control over this.  Should be illegal for one person to secure 7 and rip people off like this while everyone tries over and over to get one, but can't.

  
"
3.0 out of 5 stars,"









  
  
    
  What the console can do is good, but there is no new exclusives games for launch. I feel that’s a huge loss for Microsoft. Not really any reason to get this console until sometime next year when there will be some exclusives. The looks of this console doesn’t feel next gen and not a fan of how the insides are built/put together. Going to be a massive pain to clean this thing.

  
"
5.0 out of 5 stars,"









  
  
    
  Tons of PowerGamepassHaloWhat more can a man want?We are living in trying times Xbox will help keep our minds busySolid build and lightening fast UIOri looks gorgeous!

  
"
1.0 out of 5 stars,"









  
  
    
  awful scam to run. Scummy people ruin things.

  
"
1.0 out of 5 stars,"









  
  
    
  A Xbox series x cost $499 not this crazy price.

  
"
1.0 out of 5 stars,"









  
  
    
  These people are the lowest of low,just praying on people the worst of humanity.

  
"
5.0 out of 5 stars,"









  
  
    
  To start off I would consider myself not a pro gamer, but definitely not a casual. I’m some where in between hardcore & Pro gamer. I got some insight on specs etc. This review will not be about the specs because we already know it’s damn better than last gen console Xbox One X.After a terrible, terrible, terrible...... the worst preorder experience of my life. I’m not joking. This generation of consoles preorders will go down in gaming history infamy because how bad it was, especially during our pandemic. I was as excited as I ever could be to receive this item as if I was a child all over again. And to top it all off it came 9 hours earlier on release day! I call that a significant win for preorder delivery, since this is my first time preordering a console online.Now for what your really here for, the console review. Personally, I love it. Load times are significantly faster! Games look so damn good! And total backwards compatibility with this console made me cry tears of joy. A true 4k experience. Something last generation promised us that didn’t happen.Now not anything is perfect. The one huge downside is there are no new games for this system yet. Usually there will be about 5 to 10 day one (some exclusive only to console) games. This year there’s basically 0. Yes, the positive spin on this is you have a while back catalog of older games you can play on this newer system and see the graphics ramped up. But as an avid gamer I am a Little disappointed that Microsoft the back big time even during pandemic that they couldn’t even offer at least 3 day one games. Sony is the same. These consoles will not have new games coming out day 1 unfortunately. We’ll have to wait till a little more in 2021 to expect the games we really want.If you want a more in-depth review you can head right on over to my YouTube channel where you can see an extensive review on the console today at 8pm central standard time. My dad and puppy will be on. It’l is going to be hilarious and cute. My channels name is Clive Childress. Come check it out of your interested to know more.All in all though this console is stellar. And I can’t fault the company for the pandemic situations. So with all that said this is a pretty great console.

  
"
1.0 out of 5 stars,"









  
  
    
  This is way more than the item sells for.

  
"
5.0 out of 5 stars,"









  
  
    
  Preorders were a mess but did you really expect them not to be? With that being said this thing is amazing totally worth it

  
"
1.0 out of 5 stars,"









  
  
    
  Absolutely a complete rip off!!

  
"
5.0 out of 5 stars,"









  
  
    
  I've been playing Xbox since the OG version back in the early 2000's, the 360 was a nice leap from that OG version, the One was a good evolution from the 360, and now the XSX is further refinement. There's nothing really revolutionary especially if you're coming from the Xbox One X that had a powerful GPU already.Launch game list is atrocious, nothing really great to captivate the Xbox faithful. In the month and a half that I've had this console I've played Rocket League, Cyberpunk, Ori, GOW 5, Gears Tactics - they look nice but really can't see a difference compared to my One X graphically. Of course, there's the much better load times, instant game boot up and general quitness to the console which are a great improvement but is it worth $500 over the $500 I paid 2-3 years ago for the One X? Not really.Overall, I am an early adopter of tech, I've had all the day one editions since the 360 so I am a beta tester of sorts - I do anticipate the XSX to get better starting in 2021 with more first party games takind advantage of the the strong GPU and SSD performance. But for now, if you're a casual gamer like me or have the Xbox One X I would say to hold off until mid-late 2021. If you are rocking the Xbox One or Xbox One S then this is a worthy upgrade just for the visual upgrades and speed improvements.I play on a 65"" LG CX Oled TV via HDMI 2.1 cable, hopefully in 2021 more TVs are able to take advantage of all the tech the XSX offers for cheaper.

  
"
1.0 out of 5 stars,"









  
  
    
  Ewww i cant believe i acctually got this , its heavy and slow and is not worth it!! I honestly just threw it away could not handle this

  
"
5.0 out of 5 stars,"









  
  
    
  Absolutely Incredible Console with Amazing Graphics, Super High Build Quality, etc as I can’t say enough Awesome Stuff About The New Xbox Series X as it’s Like Having A True High End Gaming Pc without the associated Price Tag since We Get The Entire Xbox Series X for only $499 which is what an equivalent 3070/6800 GPU alone by itself would cost of which Pc gamers would easily spend $1600 dollar’s to build a Pc to match the Specs, and performance capabilities of the Series X

  
"
