stars,comment
1.0 out of 5 stars,"









  
  
    
  This isn't because there aren't many games for it.  I'm giving it 1 star because it died completely after 2 weeks. That is unacceptable.

  
"
1.0 out of 5 stars,"









  
  
    
  Console powered down the first day.  Sending back to xbox

  
"
1.0 out of 5 stars,"









  
  
    
  Well got it on launch day. Suffered a few random turn offs. Ended up putting 30 hours into ac valhalla and then boom. The series x shut down and won't turn back on. Looks like this is an issue with quite a few of them.

  
"
1.0 out of 5 stars,"









  
  
    
  Defective at launch, love it lots.:(

  
"
3.0 out of 5 stars,"









  
  
    
  Honestly the same as the Xbox one just the speed is a little faster, the gaming menu and everything is the exact same games look the exact same but just a little faster... prob gonna return

  
"
5.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   Absolutely love this console and I gotta say I'm lucky to have been able to pre order and have it arrive on time. One of the game changing feature for me is the quick resume. With this you can have multiple games running and going back into them right where you left off(without having to load into the game again). Also gamepass is a no brainer especially since games are bumping up in price to $70. With gamepass, all Microsoft exclusives are FREE! You also have a vast selection of games including ea play. Lastly, the graphics and speed of this console are amazing. I'm currently playing ac Valhalla and load times are just a bit behind that of ghost of tsushima but with even better visuals. Also the simplicity of the ui and controller are the things I love most about xbox. All in all I'm more than glad I purchased this console!

  
"
5.0 out of 5 stars,"









  
  
    
  Do you actually need this review? No, you don't. You know if you are buying this or not, idk why you even scrolled down. If you are reading this then:1. The console is still out of stock and you are teasing yourself by looking at the listingOR2. It is back in stock and you are reading this review as it goes back out of stock. Good job wasting time.

  
"
4.0 out of 5 stars,"









  
  
    
  So, yeah, new generation of hardware from Microsoft but can I talk about that box?  Because that was a spectacular way to jump into the next Xbox.You open the box up and there is the Series X all wrapped up like it's in a treasure chest.  It was great!  I actually had to take some video of it because it was above and beyond what I expected from unboxing a new console.  So good job on that!I'm upgrading from an Xbox One S and from that perspective, it was definitely time to upgrade.  I've got this 4K TV without a system that properly utilizes it!  I held off on getting a One X because I knew the next Xbox system would be coming out soon enough.And here it is.Visually speaking, I'm not really noticing TOO much difference from games on the One S.  There are some added details on some of my old games to upgrade them to 4K and I notice some effects that weren't there before.  Everything is less fuzzy.  So that's good.  It's just not the same as the visual jump from the NES to the SNES.  Or the Playstation to the Playstation 2.  But it IS close to the leap from the Xbox 360 to the Xbox One.  The difference there was only noticeable a few years after the fact for me.  I imagine the same will be true here, especially since most of the games I'm playing right not are Xbox One games upgraded to 4K and not native Series X games, beyond Yakuza: Like a Dragon.And that details the biggest drawback to getting a Series X at launch: lack of a strong exclusive library of games.  While the Playstation 5 has Spider-Man: Miles Morales, Godfall, and Sackboy, there isn't anything on the Xbox that can't be played on the PS5 except Yakuza: Like a Dragon (and that can probably be played as a PlayStation 4 game through backwards compatibility).  With Halo Infinite being delayed, there's no massive reason to upgrade your hardware.Well... I SAY that but I also don't regret doing so.  I'm disappointed in the lack of exclusives but the 4K is still very nice.  And it isn't even the best part of the Series X.  That would be the load times.  With the new hardware and the new memory storage system, games load incredibly fast.  I used to start a game up and then head into the kitchen to grab a drink or whatever while the console booted things up but those days are done.  This thing zips along.  That also applies while you're in the game.  Reloads and fast travels, even cut-scenes, happen swiftly.  There's a lot of power in this rectangular box.  The Playstation 5 also has super fast load times so it's not a selling feature if you're comparing consoles but, on its own, it presents a compelling case.It's a lot of the ""under-the-hood"" features that build this system up as a good replacement for your Xbox One.  The fact that it is capable of playing a large number of Xbox's back catalog going all the way back to the original Xbox means you'll have a huge library of games to play even if they aren't brand new exclusives.  I've got a serious backlog of titles so playing them in 4K and getting into my games faster is fine for me right now.  If you are a Gamepass subscriber, you have a large library of games to choose from right out of the gate, including a lot of EA games added from their EA Play subscription service.  I spent my first day just downloading everything I'm going to be wasting my time on over the next few months.And, let me be clear: if you play on Xbox, do yourself a favor and subscribe to Gamepass.  You get some great games and many of them are upgraded to take advantage of the Series X.  It's a good deal.I'm happy with my purchase.  I wish Halo would have made launch.  I'm also happy they held it back so that when it releases, it's worth playing.  But, man, launch would have made this purchase a lot more palatable.  In the end, it comes down to where your friends are.  Mine are on Xbox so here I am.  This thing is a powerhouse and I doubt I'm going to regret having it a year or so down the line.But if you have to make a choice between this and the Playstation 5 and you don't really do online gaming with your friends, the Playstation 5 makes a more compelling case this holiday season.  Miles Morales looks really good.But if Sony's exclusives don't move you, the third party games are all multiplatform.  You can enjoy your Call of Dutys and your Assassin's Creeds on whatever console you manage to get.  In 2020, I think we could all use a win and I think there's enough to keep you busy on both consoles to check that win box.Oh! This thing also has a controller!  It is pretty much exactly like the Xbox One controller which was a slight upgrade from the 360 controller... which was an upgrade from the Xbox S controller.  This is my favorite controller layout and it feels as comfortable in my hands as the XB1 version.  There's a capture button now to take pictures and video which is something Sony added with the PlayStation 4 and Nintendo added on the Switch.  So Microsoft is a little behind but it's here now!  I have not used it yet but I'm sure I'll get around to it.Anyway, welcome to the next generation of video game hardware.  This thing is a beast of tech and should prove a worthwhile purchase. In time.  Day one, you know what you're getting: an I.O.U. note promising better things to come.But, man, that treasure box opening is pretty great. ;)

  
"
5.0 out of 5 stars,"









  
  
    
  As soon as I opened the package I was in awe with how beautifully it was packaged, it’s super solid and sturdy. Plugging it in was very easy, no more power bricks, just one cord straight from the Xbox to the wall. Turned it on and it was like magic. Instantly started downloading games, and they look stunning! I have played Forza Horizon 4, Fallout 4, Star Wars Jedi: Fallen Order, and Dirt 4, and each load super quick. Huge leap from the load times of the Xbox one. In fallout 4, I can fast travel and have it loaded to the next place in about 5 seconds. Graphics of optimized games such as Forza look so much better than I expected. Everything is super fast, next to no wait times, and runs super smoothly. Quick resume works very well, loads back into the game within 10 seconds right where I left off. Controller feels very good in my hands, textured triggers are amazing. Super simple setup, gorgeous graphics, very short load times, very very smooth gameplay. All in all, was 1000x better than expected. Couldn’t be happier. I use a 27” 4K monitor.

  
"
5.0 out of 5 stars,"









  
  
    
  Really great product, a few bugs when getting started (logging in and setting up the console account) but, those will be ironed out with a software update. Make sure to use a 4K tv with at least 60hz if you want the most out of the experience.

  
"
1.0 out of 5 stars,"









  
  
    
  What a rip off for the price. Not worth the money.

  
"
1.0 out of 5 stars,"









  
  
    
  Ewww i cant believe i acctually got this , its heavy and slow and is not worth it!! I honestly just threw it away could not handle this

  
"
1.0 out of 5 stars,"









  
  
    
  Seems dishonest

  
"
1.0 out of 5 stars,"









  
  
    
  3x....pls don't fall for these scams.

  
"
1.0 out of 5 stars,"









  
  
    
  Garbage! This shouldn’t be allowed on Amazon.

  
"
1.0 out of 5 stars,"









  
  
    
  Sad to give this a poor review.  I received a launch day unit which worked for three days and apparently died overnight.  No obvious reason for the death of the system but it simply won't turn on again.  MS support is sadly poor - just a circular loop back to the same canned and deficient ""support"" page, and an option to request a repair on the unit.  Says there's 24 hour online support, but I can't actually get it for this issue.  Likely returning it instead of requesting a repair.Prior to the hardware failure I was happy with the system.  As expected, load times were quite good, games looked great and were fluid.

  
"
1.0 out of 5 stars,"









  
  
    
  Everything was great then it just turned off and now it will not come back on. Called Microsoft and they were no help at all. I have always had Xbox and have not had any real issues until now.Now when looking online you can find all kinds of people with the same issue.

  
"
5.0 out of 5 stars,"









  
  
    
  The size of the console is so compact, it runs whisper quiet and improves upon most backward compatible titles.4K HDR, 120 FPS, 1440P support, even Dolby vision is supported on the console.You will get about 800GB usable space from the SSD for your games. Eventually you may have to spill for the 1TB sea gate expansion card. However, the best thing to do is use a USB 3.0 external HDD for your older games and put the new games on your main SSD.Currently there is an issue with VRR via HDMI at 4K. Variable refresh rate on certain TVs like LG and Panasonic. Microsoft is aware and will patch this via a software update. In the meantime, you can either turn VRR off on your Xbox video settings or run it at 1440p/1080p which works fine.Gamepass is the best value in gaming right now, Destiny 2 and the new expansion are on it.UI is running butter smooth and games are launching instantly. Right now there aren’t many new releases of games, but as time goes on there will be more titles to take advantage of this beast.Microsoft made an amazing console that will only age better over time.

  
"
1.0 out of 5 stars,"









  
  
    
  I was very excited to receive my console on launch day after waiting 2 months from the pre-order. I was able to setup the console but it quickly died. The screen started flashing green then it shut off. After that it would either boot and then shut off after a minute or not boot at all. Lesson learned, don't buy the first generation of Microsoft's products!

  
"
1.0 out of 5 stars,"









  
  
    
  Over the years, I've invested in digital licenses for games.  felt like the future.  When the series x came out, I decided to give my xbox one S to my kids so they could play their games.  If we try to play at the same time, even though it is not the same game, we aren't allowed.  Okay... surely it will work if I sign in with my Kid's xbox live account that is connected to mine through family controls right?  Nope.  Maybe there is a way to loan the game or transfer the license?  Nope.  Basically I'm SOL, and will be looking for physical used games this holiday season for my kids.  The technology is ready for digital licensing, but MS is not.  I suggest buying physical (preferably used so it hurts their bottom line) until they empower digital owners.The series x itself has been fine.  Crashing a fair amount, but for now I blame that on COD:Cold War

  
"
1.0 out of 5 stars,"









  
  
    
  Console bricked in less than 5 hours, already have it on its way to MS for replacement. Truly “Next Gen” 😂

  
"
1.0 out of 5 stars,"









  
  
    
  Have had major problems with this console. The disc drive doesn’t read discs after u turn the console off unless u eject and reinsert. Games like COD MW and Cold War lag incredibly bad to the point it’s unplayable due to the stuttering, yet when I try my Xbox one on the same tittles there is no lag at all. Lastly, my Xbox series x shuts completely down randomly in the middle of games - it’s done it 5 times sometimes back to back.Would not recommend buying until they patch all these problems (hopefully they can be patched

  
"
1.0 out of 5 stars,"









  
  
    
  Dont buy

  
"
1.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   I wish I was able to give the Series X 5 stars but Microsoft customer service has killed it for me.A couple hours after receiving my Xbox it froze and after rebooting small pixel sized green squares littered the screen. I attempted swapping cables, changing TVs, and performing factory resets. In the end the issue would not go away.I decided to see if I could get a replacement through Amazon. Unfortunately they are currently out of stock. So the only option they provided was a refund or gift card.So I decided to give Microsoft support a shot, hoping that I could send it in for repair and get a replacement. This is where my journey of jumping hoops began.Microsoft only option for phone support is to fill out a form to have them call you, which is fine most of the time. After completing the form I was told I would receive a call in 90 minutes. 3 hours later I receive a call that the queue is full and my request was canceled. I would need to try again the next day.Next morning at 7am I refill out the form and receive a call from a human 2 minutes later. Woohoo! I explain my issues and the steps I took to trouble shoot. The service agent sets up a service request and says that I'll receive an email with what to do next.After hanging up and waiting a bit of time I receive the email and my shipping address is completely wrong from what I had told him on the phone....... So I hop online and resubmit the form to be called and I'm told it will be a 90 minute wait this time. 3 hours later I receive a call from a rep. I explain the mistake that was made on my address and he says that he needs to put me on hold so that he can escalate the issue. After being put on hold for 30 minutes  I abruptly get hung up on.After waiting to see if I would get a call back with no success I resubmit a request to be called online again. 4 hours later I get a call that the queue is full and my request has been canceled. I will need to try again tomorrow. I've owned every Xbox console that's been release and I would consider myself a bit of a fan boy. I shouldn't be required to jump through hoops like this when something doesn't work properly. This is EXTREMELY frustrating as a customer and has soured me a bit on the release of this console that I was super excited for a few months back.

  
"
1.0 out of 5 stars,"









  
  
    
  Release day. Power cord doesn’t event work. Power cycles on and off for 3 seconds. Used old power cord and it works fine.Garbage.

  
"
1.0 out of 5 stars,"









  
  
    
  My series X keeps crashing after a few mins of being turned on. I can just power it up and let it sit and it will power off completely without notice. Basically I have a very expensive paper weight! Smh!

  
"
1.0 out of 5 stars,"









  
  
    
  It doesn’t even turn on played for 20 min then the power button doesn’t work whatsoever

  
"
